DOCTOR_ID,DOCTOR_FIRST_NAME,DOCTOR_LAST_NAME,OFFICE_NUMBER,PHONE_NO,FULL_PART_TIME,DOCTOR_EMAIL
2200,,Cleverly,12,,p ,cleverly_cl@noahs.com
2202,,Farraday,34,,f ,farradayF@noahs.com
2203,,Fred,41,,f ,fredF@noahs.com
2208,,Chamberlain,36,,p ,chamberL@noahs.com
2210,,King,4,,f ,kingK@noahs.com
2211,,Adamson,5,,p ,adamnsonA@noahs.com
2213,,Scott,12,,f ,scottS@noahs.com
2214,,Foster,22,,p ,fosterF@noahs.com
2201,,Mike,34,,f ,mikeK@noahs.com
2204,,Watson,1,,f ,watsS@noahs.com
2205,,Freeman,2,,f ,freemanF@noahs.com
2206,,Crowley,10,,f ,crowleyC@noahs.com
2207,,Rahib,16,,f ,rahibB@noahs.com
2209,,Bishop,3,,p ,bishopB@noahs.com
2212,,Mantle,11,,p ,mantleM@noahs.com
2215,,Mairs,9,,f ,mairsM@noahs.com
